Symbol,Open,High,Low,Last,Chg,%Chg,"Vol(""00)"
FA40 ,11148.57 ,11187.22 ,11140.34 ,11171.48 ,7.61,0.07,"487,185 "
FBM70 ,14586.67 ,14635.38 ,14540.53 ,14624.19 ,6.65,0.05,"2,700,823 "
FBMACE ,4706.67 ,4761.69 ,4675.08 ,4752.26 ,37.07,0.78,"3,923,231 "
FBMAPMYR ,17733.98 ,17801.82 ,17630.46 ,17684.32 ,-45.51,-0.26,"399,322 "
FBMAPUSD ,12346.23 ,12401.14 ,12286.06 ,12332.55 ,-16.76,-0.14,"399,322 "
FBMEMAS ,11556.64 ,11593.77 ,11534.94 ,11585.54 ,28.16,0.24,"9,748,275 "
FBMFLG ,15765.23 ,15765.23 ,15685.92 ,15728.66 ,-40.65,-0.26,"6,120,904 "
FBMHIJRAH ,13027.57 ,13070.19 ,13004.83 ,13042.02 ,20.07,0.15,"2,546,823 "
FBMKLCI ,1624.12 ,1629.42 ,1620.93 ,1627.44 ,5.38,0.33,"37,311,198 "
FBMPALMOIL ,13225.01 ,13284.01 ,13112.97 ,13284.01 ,146.31,1.10,"336,090 "
FBMSCAP ,13523.31 ,13634.84 ,13510.14 ,13633.12 ,-14.91,-0.11,"5,190,648 "
FBMSHA ,11736.18 ,11790.59 ,11714.36 ,11779.52 ,29.63,0.25,"8,305,388 "
FBMT100 ,11374.27 ,11407.82 ,11350.16 ,11398.96 ,29.86,0.26,"4,557,627 "
CONSTRUCTION ,215.92 ,218.73 ,215.07 ,217.03 ,-2.17,-1.00,"3,953,654 "
CONSUMER PRODUCTS & SERVICES ,679.94 ,680.42 ,677.96 ,679.72 ,-0.64,-0.09,"1,679,455 "
FINANCIAL SERVICES ,16832.48 ,16847.99 ,16806.33 ,16817.76 ,6.22,0.04,"383,531 "
INDUSTRIAL PRODUCTS & SERVICES ,168.96 ,170.15 ,168.53 ,170.15 ,1.16,0.68,"2,845,971 "
PLANTATION,7209.61 ,7222.91 ,7184.72 ,7192.14 ,-16.41,-0.23,"332,098 "
PROPERTY ,936.05 ,936.52 ,929.47 ,935.26 ,-7.16,-0.77,"2,491,646 "
TECHNOLOGY,35.13 ,35.37 ,35.00 ,35.37 ,0.15,0.42,"544,706 "
